Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name
KT11 1HZ,Yes,51.332384,-0.419499,510206,160440,TQ102604,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,22,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1JA,Yes,51.33221,-0.419212,510226,160421,TQ102604,"Cobham and Downside","Elmbridge, unparished area",2004-04-01,,22,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1JB,Yes,51.332592,-0.417505,510344,160466,TQ103604,"Cobham and Downside","Elmbridge, unparished area",1998-12-01,,23,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030304,"Elmbridge 017D"
KT11 1JD,Yes,51.33244,-0.420912,510107,160444,TQ101604,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,22,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1JE,Yes,51.330028,-0.421532,510070,160175,TQ100601,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,21,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030318,"Elmbridge 014F"
KT11 1JF,Yes,51.333311,-0.421471,510066,160540,TQ100605,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,21,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030304,"Elmbridge 017D"
KT11 1JG,Yes,51.33308,-0.419656,510193,160517,TQ101605,"Cobham and Downside","Elmbridge, unparished area",1995-01-01,,22,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030304,"Elmbridge 017D"
KT11 1JH,Yes,51.332372,-0.417168,510368,160442,TQ103604,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,22,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030304,"Elmbridge 017D"
KT11 1JJ,Yes,51.3334,-0.414842,510528,160560,TQ105605,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,22,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030304,"Elmbridge 017D"
KT11 1JL,Yes,51.334615,-0.414823,510526,160695,TQ105606,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,23,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030304,"Elmbridge 017D"
KT11 1JN,Yes,51.335168,-0.410483,510827,160763,TQ108607,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,27,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030306,"Elmbridge 017F"
KT11 1JP,Yes,51.340694,-0.410866,510787,161377,TQ107613,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,30,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030306,"Elmbridge 017F"
KT11 1JQ,Yes,51.332703,-0.418483,510276,160477,TQ102604,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,22,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030304,"Elmbridge 017D"
KT11 1JR,Yes,51.337006,-0.406112,511127,160974,TQ111609,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,35,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030306,"Elmbridge 017F"
KT11 1JS,Yes,51.337565,-0.406343,511110,161036,TQ111610,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,35,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030306,"Elmbridge 017F"
KT11 1JT,Yes,51.337479,-0.406604,511092,161026,TQ110610,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,35,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030306,"Elmbridge 017F"
KT11 1JU,Yes,51.337688,-0.406046,511130,161050,TQ111610,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,36,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030306,"Elmbridge 017F"
KT11 1JW,Yes,51.337504,-0.410976,510787,161022,TQ107610,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,32,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030306,"Elmbridge 017F"
KT11 1JX,Yes,51.337201,-0.406643,511090,160995,TQ110609,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,35,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030306,"Elmbridge 017F"
KT11 1JY,Yes,51.338006,-0.406279,511113,161085,TQ111610,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,35,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030306,"Elmbridge 017F"
KT11 1JZ,Yes,51.333103,-0.417416,510349,160523,TQ103605,"Cobham and Downside","Elmbridge, unparished area",2004-01-01,,23,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030304,"Elmbridge 017D"
KT11 1LA,Yes,51.335465,-0.407888,511007,160800,TQ110607,"Cobham and Downside","Elmbridge, unparished area",1998-06-01,,33,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030300,"Elmbridge 017A"
KT11 1LB,No,51.332547,-0.415526,510482,160464,TQ104604,"Cobham and Downside","Elmbridge, unparished area",1983-03-01,1999-06-01,23,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1LD,No,51.323038,-0.419901,510200,159400,TQ101593,"Cobham and Downside","Elmbridge, unparished area",1990-02-01,1991-12-01,18,England,2022-05-26,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01030302,"Elmbridge 017C"
KT11 1LE,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",1991-01-01,2005-10-01,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1LF,No,51.31233,-0.426008,509800,158200,TQ097582,"Cobham and Downside","Elmbridge, unparished area",1991-09-01,1992-12-01,33,England,2022-05-26,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01030302,"Elmbridge 017C"
KT11 1LG,No,51.329083,-0.410679,510828,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",1991-09-01,2018-04-01,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1LH,Yes,51.311776,-0.435052,509171,158125,TQ091581,"Cobham and Downside","Elmbridge, unparished area",2004-10-01,,45,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1LJ,Yes,51.312971,-0.422872,510017,158276,TQ100582,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,33,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1LN,Yes,51.30969,-0.427676,509690,157904,TQ096579,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,40,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1LP,Yes,51.307249,-0.434044,509252,157623,TQ092576,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,59,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1LQ,No,51.31233,-0.426008,509800,158200,TQ097582,"Cobham and Downside","Elmbridge, unparished area",1992-01-01,1995-01-01,33,England,2022-05-26,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01030302,"Elmbridge 017C"
KT11 1LR,Yes,51.311651,-0.434411,509216,158112,TQ092581,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,43,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1LS,Yes,51.30839,-0.434005,509252,157750,TQ092577,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,55,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1LT,Yes,51.311189,-0.440869,508767,158051,TQ087580,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,44,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1LU,Yes,51.306613,-0.436289,509097,157549,TQ090575,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,55,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1LW,Yes,51.307472,-0.429876,509542,157654,TQ095576,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,46,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1NG,Yes,51.304503,-0.439173,508901,157310,TQ089573,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,49,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1PA,No,51.339381,-0.396971,511758,161252,TQ117612,"Oxshott and Stoke D'Abernon","Elmbridge, unparished area",2004-05-01,2017-04-01,41,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030306,"Elmbridge 017F"
KT11 1PG,Yes,51.314281,-0.421306,510123,158424,TQ101584,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,29,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1PH,Yes,51.315062,-0.431955,509379,158495,TQ093584,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,31,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1PJ,Yes,51.320483,-0.438559,508906,159088,TQ089590,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,21,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1PL,Yes,51.318653,-0.439014,508879,158884,TQ088588,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,34,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1PN,No,51.310532,-0.426069,509800,158000,TQ098579,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,1981-12-01,37,England,2022-05-26,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01030302,"Elmbridge 017C"
KT11 1PP,No,51.332539,-0.41554,510481,160463,TQ104604,"Cobham and Downside","Elmbridge, unparished area",2003-05-01,2020-09-01,23,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1PQ,Yes,51.316261,-0.428878,509591,158633,TQ095586,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,28,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1RR,Yes,51.332654,-0.418766,510256,160471,TQ102604,"Cobham and Downside","Elmbridge, unparished area",2000-12-01,,22,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030304,"Elmbridge 017D"
KT11 1TA,Yes,51.340908,-0.398166,511671,161420,TQ116614,"Oxshott and Stoke D'Abernon","Elmbridge, unparished area",2000-12-01,,42,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030306,"Elmbridge 017F"
KT11 1TE,No,51.339381,-0.396971,511758,161252,TQ117612,"Oxshott and Stoke D'Abernon","Elmbridge, unparished area",2007-01-01,2007-01-01,41,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030306,"Elmbridge 017F"
KT11 1TF,Yes,51.339381,-0.396971,511758,161252,TQ117612,"Oxshott and Stoke D'Abernon","Elmbridge, unparished area",2001-12-01,,41,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030306,"Elmbridge 017F"
KT11 1WA,No,51.329083,-0.410679,510828,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",2002-11-01,2018-12-01,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1WB,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",2014-03-01,2015-04-01,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1WD,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",1997-12-01,2013-07-01,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1WE,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",2004-06-01,2006-01-01,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1WF,Yes,51.329083,-0.410679,510828,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",1998-12-01,,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1WG,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",1997-12-01,2011-10-01,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1WH,No,51.331602,-0.418774,510258,160354,TQ102603,"Cobham and Downside","Elmbridge, unparished area",1999-06-01,2000-09-01,23,England,2022-05-26,"Postcode sector mean (mainly PO Boxes)",E01030302,"Elmbridge 017C"
KT11 1WJ,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",1998-12-01,2005-08-01,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1WL,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",1999-12-01,2006-02-01,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1WN,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",2000-12-01,2003-11-01,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1WP,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",2012-08-01,2015-07-01,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1WQ,No,51.318813,-0.440137,508800,158900,TQ087588,"Cobham and Downside","Elmbridge, unparished area",1998-12-01,2000-10-01,41,England,2022-05-26,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01030302,"Elmbridge 017C"
KT11 1WR,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",2001-12-01,2008-06-01,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1WS,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",2002-08-01,2006-01-01,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1WT,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",1999-12-01,2003-06-01,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1WU,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",2004-01-01,2008-06-01,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1WX,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",1998-12-01,2008-06-01,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1WY,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",2003-11-01,2013-11-01,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1WZ,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",2003-08-01,2003-10-01,24,England,2022-05-26,"Imputed by ONS by reference to surrounding postcode grid references",E01030302,"Elmbridge 017C"
KT11 1XA,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",2002-09-01,2006-02-01,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1XQ,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",2007-06-01,2007-07-01,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1XT,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",2004-04-01,2004-05-01,24,England,2022-05-26,"Imputed by ONS by reference to surrounding postcode grid references",E01030302,"Elmbridge 017C"
KT11 1XZ,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",2001-12-01,2003-11-01,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1YA,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",1992-08-01,2000-10-01,24,England,2022-05-26,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01030302,"Elmbridge 017C"
KT11 1YB,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",1993-08-01,2003-11-01,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1YD,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",1995-12-01,1997-06-01,24,England,2022-05-26,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01030302,"Elmbridge 017C"
KT11 1YE,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",1996-12-01,2000-10-01,24,England,2022-05-26,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01030302,"Elmbridge 017C"
KT11 1YF,No,51.318813,-0.440137,508800,158900,TQ087588,"Cobham and Downside","Elmbridge, unparished area",1999-06-01,2000-10-01,41,England,2022-05-26,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01030302,"Elmbridge 017C"
KT11 1YG,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",1997-06-01,2006-02-01,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1YH,No,51.318813,-0.440137,508800,158900,TQ087588,"Cobham and Downside","Elmbridge, unparished area",1999-06-01,2000-10-01,41,England,2022-05-26,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01030302,"Elmbridge 017C"
KT11 1YJ,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",2000-06-01,2006-07-01,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1YL,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",1994-05-01,1997-06-01,24,England,2022-05-26,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01030302,"Elmbridge 017C"
KT11 1YN,No,51.331602,-0.418774,510258,160354,TQ102603,"Cobham and Downside","Elmbridge, unparished area",1994-05-01,2001-02-01,23,England,2022-05-26,"Postcode sector mean (mainly PO Boxes)",E01030302,"Elmbridge 017C"
KT11 1YP,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",2002-09-01,2006-10-01,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1YQ,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",2003-06-01,2006-01-01,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1YR,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",1994-12-01,2000-10-01,24,England,2022-05-26,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01030302,"Elmbridge 017C"
KT11 1YS,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",1995-01-01,1997-06-01,24,England,2022-05-26,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01030302,"Elmbridge 017C"
KT11 1YT,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",2002-10-01,2006-07-01,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1YU,No,51.331602,-0.418774,510258,160354,TQ102603,"Cobham and Downside","Elmbridge, unparished area",1995-12-01,2000-09-01,23,England,2022-05-26,"Postcode sector mean (mainly PO Boxes)",E01030302,"Elmbridge 017C"
KT11 1YW,No,51.331732,-0.418439,510281,160369,TQ102603,"Cobham and Downside","Elmbridge, unparished area",1997-06-01,1999-06-01,23,England,2022-05-26,"Postcode sector mean (mainly PO Boxes)",E01030302,"Elmbridge 017C"
KT11 1YX,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",1998-12-01,2006-01-01,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1YY,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",1995-12-01,1997-06-01,24,England,2022-05-26,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01030302,"Elmbridge 017C"
KT11 1YZ,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",2004-06-01,2006-07-01,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1ZA,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",1997-06-01,2006-04-01,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 1ZR,No,51.329082,-0.410664,510829,160086,TQ108600,"Cobham and Downside","Elmbridge, unparished area",2001-12-01,2003-10-01,24,England,2022-05-26,"Imputed by ONS by reference to surrounding postcode grid references",E01030302,"Elmbridge 017C"
KT11 2AA,Yes,51.328683,-0.408396,510988,160045,TQ109600,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 2AB,Yes,51.328261,-0.406502,511121,160001,TQ111600,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,23,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 2AD,Yes,51.327749,-0.407194,511074,159943,TQ110599,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,23,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 2AE,Yes,51.328087,-0.408216,511002,159979,TQ110599,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 2AF,Yes,51.327988,-0.408851,510958,159967,TQ109599,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 2AG,Yes,51.329605,-0.409441,510913,160146,TQ109601,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,23,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 2AH,Yes,51.330535,-0.407054,511077,160253,TQ110602,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,26,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030301,"Elmbridge 017B"
KT11 2AJ,Yes,51.329661,-0.406898,511090,160156,TQ110601,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,23,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 2AL,Yes,51.330755,-0.406028,511148,160279,TQ111602,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,28,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 2AN,Yes,51.33434,-0.408444,510971,160674,TQ109606,"Cobham and Downside","Elmbridge, unparished area",2006-01-01,,33,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030300,"Elmbridge 017A"
KT11 2AP,Yes,51.331732,-0.405821,511160,160388,TQ111603,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,31,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030301,"Elmbridge 017B"
KT11 2AQ,Yes,51.329767,-0.408114,511005,160166,TQ110601,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,23,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 2AR,Yes,51.332728,-0.406935,511080,160497,TQ110604,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,32,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030300,"Elmbridge 017A"
KT11 2AS,Yes,51.33314,-0.406835,511086,160543,TQ110605,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,33,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030300,"Elmbridge 017A"
KT11 2AT,Yes,51.334282,-0.407527,511035,160669,TQ110606,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,34,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030300,"Elmbridge 017A"
KT11 2AU,Yes,51.334985,-0.406312,511118,160749,TQ111607,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,34,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030300,"Elmbridge 017A"
KT11 2AW,Yes,51.332105,-0.403497,511321,160433,TQ113604,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,36,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030301,"Elmbridge 017B"
KT11 2AX,Yes,51.334864,-0.405325,511187,160737,TQ111607,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,36,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030300,"Elmbridge 017A"
KT11 2AY,Yes,51.331983,-0.414368,510564,160403,TQ105604,"Cobham and Downside","Elmbridge, unparished area",2002-06-01,,23,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030302,"Elmbridge 017C"
KT11 2AZ,Yes,51.333516,-0.40342,511323,160590,TQ113605,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,37,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030301,"Elmbridge 017B"
KT11 2BA,Yes,51.333011,-0.404643,511239,160532,TQ112605,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,37,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030301,"Elmbridge 017B"
KT11 2BB,Yes,51.333208,-0.405914,511150,160552,TQ111605,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,35,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030300,"Elmbridge 017A"
KT11 2BD,Yes,51.331204,-0.404663,511242,160331,TQ112603,"Cobham and Downside","Elmbridge, unparished area",1980-01-01,,33,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030301,"Elmbridge 017B"
